-9.786300999999998,1.83925
-9.68783925,1.83
-9.588397250000002,1.822
-9.48874825,1.81425
-9.3893155,1.8054999999999999
-9.28928925,1.7965
-9.190064249999999,1.7879999999999998
-9.064649,1.77725
-8.940253,1.7665000000000002
-8.81595075,1.7554999999999998
-8.692036250000001,1.7440000000000002
-8.59167425,1.73475
-8.49157275,1.7247500000000002
-8.393074,1.7145000000000001
-8.294192,1.704
-8.1956785,1.69275
-8.097788,1.68175
-7.997542999999999,1.67025
-7.89791375,1.65825
-7.79849025,1.646
-7.699231999999999,1.633
-7.6005727499999995,1.62
-7.5013495,1.6065
-7.4018695,1.5925
-7.302275249999999,1.5779999999999998
-7.20226425,1.5627499999999999
-7.102440250000001,1.54725
-7.0028305,1.53125
-6.90302275,1.5154999999999998
-6.803902,1.49925
-6.704193749999999,1.48225
-6.604428499999999,1.465
-6.504793749999999,1.4469999999999998
-6.403906,1.4292500000000001
-6.3042810000000005,1.4104999999999999
-6.205103750000001,1.3915
-6.10514,1.3719999999999999
-6.00654725,1.3515000000000001
-5.906936999999999,1.331
-5.80689375,1.31
-5.73202,1.29425
-5.6566935,1.278
-5.58161625,1.26175
-5.50367975,1.246
-5.4034835,1.224
-5.3051,1.2025
-5.2049465,1.182
-5.10924925,1.16
-5.008157000000001,1.139
-4.90807,1.118
-4.8091047499999995,1.09575
-4.70957575,1.0742500000000001
-4.613446499999999,1.05225
-4.51474125,1.03025
-4.4155485,1.0082499999999999
-4.315051749999999,0.98725
-4.214451250000001,0.9654999999999999
-4.112973,0.9435
-4.01053475,0.9215
-3.91183425,0.89875
-3.8131705,0.87675
-3.7156955,0.85525
-3.61966125,0.8332499999999999
-3.520151,0.81125
-3.42007475,0.78975
-3.3201917499999998,0.76725
-3.22023025,0.74525
-3.1211435000000005,0.72325
-3.0220442500000004,0.7004999999999999
-2.9208085,0.6764999999999999
-2.8208255,0.65375
-2.71977425,0.6315000000000001
-2.62009075,0.6094999999999999
-2.5220665,0.589
-2.42290725,0.5675
-2.3243227500000003,0.5447500000000001
-2.22352575,0.5225
-2.12310375,0.50025
-2.023165,0.47800000000000004
-1.9458565,0.45875000000000005
-1.8722715,0.44025
-1.8213914999999998,0.43025
-1.7800705,0.4195
-1.7330105,0.41100000000000003
-1.6826505,0.40149999999999997
-1.60959275,0.38375000000000004
-1.52586225,0.367
-1.4254035,0.34525
-1.32606225,0.323
-1.226437,0.301
-1.127348925,0.27875
-1.02747755,0.2565
-0.9280198500000001,0.23525
-0.8282931250000001,0.21275
-0.7292207500000001,0.19025
-0.6549599,0.17275000000000001
-0.5793964,0.15525
-0.528820475,0.14400000000000002
-0.47800967499999997,0.1325
-0.427494425,0.12175
-0.377821025,0.11057499999999999
-0.328045375,0.099825
-0.279419225,0.0892
-0.228907125,0.078325
-0.1814966375,0.0691
-0.1307633175,0.059300000000000005
-0.093665785,0.0509
-0.0569929425,0.042525
-0.038231637500000006,0.03605
-0.0224882625,0.028575
-0.01663551,0.02535
-0.011670482999999999,0.023075000000000002
-0.009360324,0.022099999999999998
-0.007081120000000001,0.022175
-0.0046302750000000005,0.022
-0.0025972867499999995,0.0209
-0.0012199194,0.02025
0.019299934100000003,0.016375
0.0401967266,0.012810000000000002
0.08522221885,0.004325000000000001
0.13064847500000001,-0.0039074999999999995
0.18088339750000001,-0.0138075
0.230629125,-0.0242425
0.28079227500000004,-0.034907499999999994
0.355124775,-0.051649999999999995
0.40520965,-0.063525
0.48006007500000003,-0.08035
0.5303145,-0.09182499999999999
0.5800127,-0.10317499999999999
0.629923475,-0.11397499999999999
0.679414525,-0.125275
0.7532487749999999,-0.14225
0.8281205999999999,-0.159325
0.926892475,-0.18142499999999998
1.0260672,-0.203625
1.1257637,-0.22565
1.224993,-0.2475
1.3244745,-0.27025
1.4245495,-0.29250000000000004
1.52433,-0.315
1.62449475,-0.33725
1.7243187500000001,-0.359
1.823899,-0.38075
1.9236710000000001,-0.40299999999999997
2.0228797500000004,-0.4255
2.1226355000000003,-0.44799999999999995
2.22177225,-0.47050000000000003
2.32113075,-0.49275
2.4217445,-0.515
2.52236575,-0.53725
2.6227405,-0.5595
2.722836,-0.5812499999999999
2.82165025,-0.6027499999999999
2.92072,-0.62475
3.02041025,-0.64725
3.1199952499999997,-0.6695
3.2199882499999997,-0.69225
3.319851,-0.71475
3.419485,-0.7364999999999999
3.5190242499999997,-0.7585
3.617826,-0.78
3.71644125,-0.8019999999999999
3.8149907499999998,-0.8240000000000001
3.91345175,-0.84575
4.013331,-0.8675
4.1126492500000005,-0.88925
4.21244675,-0.911
4.3124875000000005,-0.933
4.41141125,-0.95525
4.5114095,-0.9769999999999999
4.610415,-0.99875
4.7099364999999995,-1.02075
4.8101855,-1.04225
4.90914725,-1.06375
5.00893425,-1.0855000000000001
5.107902,-1.1067500000000001
5.20655125,-1.1282500000000002
5.306023,-1.15
5.405456249999999,-1.1715
5.50517,-1.193
5.604659999999999,-1.21475
5.70661975,-1.238
5.8064075,-1.26025
5.90651275,-1.28175
6.0064195,-1.30275
6.1035070000000005,-1.32175
6.203583,-1.3415
6.30409075,-1.36375
6.403782999999999,-1.38525
6.50360775,-1.405
6.6026465000000005,-1.42425
6.70062725,-1.4409999999999998
6.799764000000001,-1.458
6.8995565,-1.4760000000000002
6.99999275,-1.49375
7.09941275,-1.51125
7.1995594999999994,-1.5282499999999999
7.2984842500000005,-1.5447499999999998
7.39722725,-1.56075
